book_id,book_name,author,rating,review_count,price,description,listening_time_raw,listening_minutes,genres,primary_genre,genre_count,weighted_rating,search_text,source,title_key,author_key
11,"Outlander: Outlander, Book 1",Diana Gabaldon,4.6,22631.0,1172.0,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and the gallant James Fraser?",32 hours and 38 minutes,1958.0,Historical Fantasy | Fantasy Romance | Contemporary Fantasy,Historical Fantasy,3,4.596384317178463,"Outlander: Outlander, Book 1 Diana Gabaldon Historical Fantasy Fantasy Romance Contemporary Fantasy In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and the gallant James Fraser?",both datasets,outlander outlander book 1,diana gabaldon
12,Think and Grow Rich,Napoleon Hill,4.5,22448.0,166.0,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",10 hours and 15 minutes,615.0,Economics (Audible Audiobooks & Originals) | Business Motivation & Self-Improvement | Economics Books,Economics (Audible Audiobooks & Originals),3,4.498903888701955,"Think and Grow Rich Napoleon Hill Economics (Audible Audiobooks & Originals) Business Motivation & Self-Improvement Economics Books By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",both datasets,think and grow rich,napoleon hill
13,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123.0,837.0,Rich Dad Poor Dad will....,6 hours and 9 minutes,369.0,Personal Finance | Investing & Trading | Personal Development & Self-Help,Personal Finance,3,4.4988882023887955,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! Robert T. Kiyosaki Personal Finance Investing & Trading Personal Development & Self-Help Rich Dad Poor Dad will....,both datasets,rich dad poor dad what the rich teach their kids about money that the poor and middle class do not,robert t kiyosaki
14,How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0,668.0,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.",8 hours and 5 minutes,485.0,Communication & Social Skills | Personal Development & Self-Help,Communication & Social Skills,2,4.4988303643975325,"How to Win Friends and Influence People Dale Carnegie Communication & Social Skills Personal Development & Self-Help How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.",both datasets,how to win friends and influence people,dale carnegie
15,Fifty Shades Darker: Book Two of the Fifty Shades Trilogy,E. L. James,4.3,20842.0,1093.0,"For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world.",19 hours and 49 minutes,1189.0,Women's Fiction | Contemporary Romance (Audible Audiobooks & Originals) | Contemporary Fiction,Women's Fiction,3,4.304300297552361,"Fifty Shades Darker: Book Two of the Fifty Shades Trilogy E. L. James Women's Fiction Contemporary Romance (Audible Audiobooks & Originals) Contemporary Fiction For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world.",both datasets,fifty shades darker book two of the fifty shades trilogy,e l james
16,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306.0,10378.0,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",5 hours and 17 minutes,317.0,Personal Success | Personal Development & Self-Help,Personal Success,2,4.401601066206363,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life Mark Manson Personal Success Personal Development & Self-Help In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",both datasets,the subtle art of not giving a f ck a counterintuitive approach to living a good life,mark manson
17,The Hunger Games: Special Edition,Suzanne Collins,4.7,20196.0,656.0,Emmy Award-winning actress Tatiana Maslany narrates a brand-new special edition recording of the first audiobook in the worldwide best-selling trilogy from Suzanne Collins!,-1,,,,0,4.693136268885606,The Hunger Games: Special Edition Suzanne Collins Emmy Award-winning actress Tatiana Maslany narrates a brand-new special edition recording of the first audiobook in the worldwide best-selling trilogy from Suzanne Collins!,both datasets,the hunger games special edition,suzanne collins
18,Sapiens,Yuval Noah Harari,4.6,20163.0,1093.0,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,15 hours and 18 minutes,918.0,Anthropology (Audible Audiobooks & Originals) | History of Civilization | Anthropology,Anthropology (Audible Audiobooks & Originals),3,4.595954268734917,Sapiens Yuval Noah Harari Anthropology (Audible Audiobooks & Originals) History of Civilization Anthropology Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,both datasets,sapiens,yuval noah harari
19,To Kill a Mockingbird,Harper Lee,4.5,20053.0,888.0,Brought to you by Penguin.,-1,,,,0,4.498776699430695,To Kill a Mockingbird Harper Lee Brought to you by Penguin.,both datasets,to kill a mockingbird,harper lee
20,Educated,Tara Westover,4.7,19643.0,888.0,Brought to you by Penguin.,12 hours and 10 minutes,730.0,Relationships | Women Biographies | Family & Relationships,Relationships,3,4.692948644401856,Educated Tara Westover Relationships Women Biographies Family & Relationships Brought to you by Penguin.,both datasets,educated,tara westover
21,"The Life-Changing Magic of Tidying: A Simple, Effective Way to Banish Clutter Forever",Marie Kondo,4.5,19210.0,615.0,Transform your home into a permanently clear and clutter-free space with the incredible KonMari Method. Japan's expert declutterer and professional cleaner Marie Kondo will help you tidy your rooms once and for all with her inspirational step-by-step method.,4 hours and 39 minutes,279.0,Cleaning & Organising | Home & House Maintenance | Stress Management,Cleaning & Organising,3,4.498724608589662,"The Life-Changing Magic of Tidying: A Simple, Effective Way to Banish Clutter Forever Marie Kondo Cleaning & Organising Home & House Maintenance Stress Management Transform your home into a permanently clear and clutter-free space with the incredible KonMari Method. Japan's expert declutterer and professional cleaner Marie Kondo will help you tidy your rooms once and for all with her inspirational step-by-step method.",both datasets,the life changing magic of tidying a simple effective way to banish clutter forever,marie kondo
22,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.5,19041.0,10080.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.498713627279883,"Eleanor Oliphant Is Completely Fine Gail Honeyman Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,eleanor oliphant is completely fine,gail honeyman
23,"Mockingjay: The Hunger Games, Book 3",Suzanne Collins,4.5,18725.0,656.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.498692578513336,"Mockingjay: The Hunger Games, Book 3 Suzanne Collins Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,mockingjay the hunger games book 3,suzanne collins
24,The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381.0,99.0,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",7 hours and 13 minutes,433.0,"New Thought Spirituality | Personal Success | Mind, Body & Spirit",New Thought Spirituality,3,4.498668867368702,"The Power of Your Subconscious Mind Joseph Murphy New Thought Spirituality Personal Success Mind, Body & Spirit ""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",both datasets,the power of your subconscious mind,joseph murphy
25,Big Little Lies,Liane Moriarty,4.6,18129.0,930.0,Originally published as Little Lies.,15 hours and 55 minutes,955.0,Family Life Fiction | Women's Fiction | Mysteries,Family Life Fiction,3,4.595514590524126,Big Little Lies Liane Moriarty Family Life Fiction Women's Fiction Mysteries Originally published as Little Lies.,both datasets,big little lies,liane moriarty
26,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy,E. L. James,4.4,17597.0,1093.0,"In the final instalment of the trilogy that has left a whole generation breathless, E. L. James brings the fiery story of Christian and Ana to a truly thrilling crescendo.",20 hours and 59 minutes,1259.0,Romance,Romance,1,4.401839588443112,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy E. L. James Romance In the final instalment of the trilogy that has left a whole generation breathless, E. L. James brings the fiery story of Christian and Ana to a truly thrilling crescendo.",both datasets,fifty shades freed book three of the fifty shades trilogy,e l james
27,The Tattooist of Auschwitz,Heather Morris,4.7,17578.0,1328.0,"The Tattooist of Auschwitz is based on the true story of Lale and Gita Sokolov, two Slovakian Jews who survived Auschwitz and eventually made their home in Australia. In that terrible place, Lale was given the job of tattooing the prisoners marked for survival - literally scratching numbers into his fellow victims' arms in indelible ink to create what would become one of the most potent symbols of the Holocaust. Lale used the infinitesimal freedom of movement that this position awarded him to exchange jewels and money taken from murdered Jews for food to keep others alive. If he had been caught, he would have been killed; many owed him their survival.",7 hours and 26 minutes,446.0,Jewish Literature | War & Military Fiction | Historical Fiction (Audible Audiobooks & Originals),Jewish Literature,3,4.692147045210545,"The Tattooist of Auschwitz Heather Morris Jewish Literature War & Military Fiction Historical Fiction (Audible Audiobooks & Originals) The Tattooist of Auschwitz is based on the true story of Lale and Gita Sokolov, two Slovakian Jews who survived Auschwitz and eventually made their home in Australia. In that terrible place, Lale was given the job of tattooing the prisoners marked for survival - literally scratching numbers into his fellow victims' arms in indelible ink to create what would become one of the most potent symbols of the Holocaust. Lale used the infinitesimal freedom of movement that this position awarded him to exchange jewels and money taken from murdered Jews for food to keep others alive. If he had been caught, he would have been killed; many owed him their survival.",both datasets,the tattooist of auschwitz,heather morris
28,Ready Player One,Ernest Cline,4.6,17237.0,1093.0,Brought to you by Penguin.,15 hours and 40 minutes,940.0,Cyberpunk Science Fiction | Adventure Science Fiction | Science Fiction,Cyberpunk Science Fiction,3,4.595290118730337,Ready Player One Ernest Cline Cyberpunk Science Fiction Adventure Science Fiction Science Fiction Brought to you by Penguin.,advanced only,ready player one,ernest cline
29,1984,George Orwell,4.5,17140.0,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",12 hours and 19 minutes,739.0,Dystopian Science Fiction | Political Fiction | Literary Fiction,Dystopian Science Fiction,3,4.498575679824536,"1984 George Orwell Dystopian Science Fiction Political Fiction Literary Fiction George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",both datasets,1984,george orwell
30,Wonder,R J Palacio,4.7,17041.0,888.0,"Soon to be a major film starring Julia Roberts, Owen Wilson and Jacob Tremblay.",8 hours and 5 minutes,485.0,Children's Literature & Fiction,Children's Literature & Fiction,1,4.691907821434624,"Wonder R J Palacio Children's Literature & Fiction Soon to be a major film starring Julia Roberts, Owen Wilson and Jacob Tremblay.",both datasets,wonder,r j palacio
31,The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8,16390.0,656.0,"Dr. Gary Chapman identifies five basic languages of love and then guides couples towards a better understanding of their unique languages of love. Learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. Skillful communication is within your grasp!",4 hours and 46 minutes,286.0,Christian Marriage & Relationships | Marriage | Love & Romance,Christian Marriage & Relationships,3,4.788139899643609,"The Five Love Languages: The Secret to Love That Lasts Gary Chapman Christian Marriage & Relationships Marriage Love & Romance Dr. Gary Chapman identifies five basic languages of love and then guides couples towards a better understanding of their unique languages of love. Learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. Skillful communication is within your grasp!",both datasets,the five love languages the secret to love that lasts,gary chapman
32,A Gentleman in Moscow,Amor Towles,4.6,16358.0,873.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.595045799719655,"A Gentleman in Moscow Amor Towles Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,a gentleman in moscow,amor towles
33,Origin,Dan Brown,4.2,16175.0,1093.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.208999586937689,"Origin Dan Brown Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,origin,dan brown
34,"Catching Fire: The Hunger Games, Book 2",Suzanne Collins,4.7,15953.0,656.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.691375518515692,"Catching Fire: The Hunger Games, Book 2 Suzanne Collins Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,catching fire the hunger games book 2,suzanne collins
35,The Handmaid's Tale,Margaret Atwood,4.4,15741.0,1093.0,Brought to you by Penguin.,11 hours and 22 minutes,682.0,Dystopian Science Fiction | Classic Literature | Literary Fiction,Dystopian Science Fiction,3,4.402048694037822,The Handmaid's Tale Margaret Atwood Dystopian Science Fiction Classic Literature Literary Fiction Brought to you by Penguin.,both datasets,the handmaid s tale,margaret atwood
36,The Rosie Project,Graeme Simsion,4.5,14556.0,888.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.498332633972763,"The Rosie Project Graeme Simsion Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,the rosie project,graeme simsion
37,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6,14042.0,1093.0,,,,,,0,4.5942614721614286,12 Rules for Life: An Antidote to Chaos Jordan B. Peterson,catalog only,12 rules for life an antidote to chaos,jordan b peterson
38,Becoming,Michelle Obama,4.6,13941.0,1093.0,Penguin presents the audiobook edition of Becoming by Michelle Obama.,19 hours and 3 minutes,1143.0,Women Biographies | Biographies & Autobiographies,Women Biographies,2,4.594221577385018,Becoming Michelle Obama Women Biographies Biographies & Autobiographies Penguin presents the audiobook edition of Becoming by Michelle Obama.,both datasets,becoming,michelle obama
39,This Is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,4.7,13811.0,323.0,,,,,,0,4.690092448690759,This Is Going to Hurt: Secret Diaries of a Junior Doctor Adam Kay,catalog only,this is going to hurt secret diaries of a junior doctor,adam kay
40,Wild,Cheryl Strayed,4.4,13808.0,748.0,"A powerful, blazingly honest memoir: the story of an 1100-mile solo hike that broke down a young woman reeling from catastrophe and built her back up again. At 22, Cheryl Strayed thought she had lost everything. After her mother's death, her family scattered and her own marriage was destroyed. Four years later, with nothing more to lose, she decided to hike the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State - alone. She had no experience as a long-distance hiker, and the trail was little more than an idea: vague, outlandish, and full of promise. But it was a promise of piecing together a life that had come undone. Strayed faces rattlesnakes and bears, intense heat and record snowfalls, and both the beauty and intense loneliness of the trail.",12 hours and 59 minutes,779.0,Grief & Loss | Travel & Tourism (Audible Audiobooks & Originals) | Women Biographies,Grief & Loss,3,4.402323798280622,"Wild Cheryl Strayed Grief & Loss Travel & Tourism (Audible Audiobooks & Originals) Women Biographies A powerful, blazingly honest memoir: the story of an 1100-mile solo hike that broke down a young woman reeling from catastrophe and built her back up again. At 22, Cheryl Strayed thought she had lost everything. After her mother's death, her family scattered and her own marriage was destroyed. Four years later, with nothing more to lose, she decided to hike the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State - alone. She had no experience as a long-distance hiker, and the trail was little more than an idea: vague, outlandish, and full of promise. But it was a promise of piecing together a life that had come undone. Strayed faces rattlesnakes and bears, intense heat and record snowfalls, and both the beauty and intense loneliness of the trail.",both datasets,wild,cheryl strayed
41,I Am Pilgrim,Terry Hayes,4.6,13297.0,1093.0,National Book Awards 2014: Crime/Thriller Book of the Year,-1,,,,0,4.593953549139264,I Am Pilgrim Terry Hayes National Book Awards 2014: Crime/Thriller Book of the Year,advanced only,i am pilgrim,terry hayes
42,A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,13129.0,18149.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.68959981599953,"A Game of Thrones: Book 1 of A Song of Ice and Fire George R. R. Martin Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,a game of thrones book 1 of a song of ice and fire,george r r martin
43,Man's Search for Meaning,Viktor E. Frankl,4.4,12997.0,468.0,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning.",4 hours and 44 minutes,284.0,Philosophy (Audible Audiobooks & Originals) | Holocaust | Textbooks & Study Guides,Philosophy (Audible Audiobooks & Originals),3,4.402462535059596,"Man's Search for Meaning Viktor E. Frankl Philosophy (Audible Audiobooks & Originals) Holocaust Textbooks & Study Guides Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning.",both datasets,man s search for meaning,viktor e frankl
44,"The Girl in the Spider's Web: Continuing Stieg Larsson's Dragon Tattoo Series, Book 4",David Lagercrantz,4.0,12746.0,873.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.020119333702058,"The Girl in the Spider's Web: Continuing Stieg Larsson's Dragon Tattoo Series, Book 4 David Lagercrantz Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,the girl in the spider s web continuing stieg larsson s dragon tattoo series book 4,david lagercrantz
45,The Four Agreements,don Miguel Ruiz,4.6,12634.0,501.0,"Don Miguel Ruiz has dedicated his life to sharing the wisdom of the ancient Toltec. For more than two decades, he has guided others toward their personal freedom. Today, he continues to combine his unique blend of ancient wisdom and modern-day awareness through journeys to sacred sites around the world.",2 hours and 31 minutes,151.0,"Other Religions, Practices & Sacred Texts | Personal Success | Mind, Body & Spirit","Other Religions, Practices & Sacred Texts",3,4.593650334789316,"The Four Agreements don Miguel Ruiz Other Religions, Practices & Sacred Texts Personal Success Mind, Body & Spirit Don Miguel Ruiz has dedicated his life to sharing the wisdom of the ancient Toltec. For more than two decades, he has guided others toward their personal freedom. Today, he continues to combine his unique blend of ancient wisdom and modern-day awareness through journeys to sacred sites around the world.",both datasets,the four agreements,don miguel ruiz
46,The Hobbit (Dramatised),J. R. R. Tolkien,4.7,12297.0,615.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.688928211444392,"The Hobbit (Dramatised) J. R. R. Tolkien Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,the hobbit dramatised,j r r tolkien
47,Memory Man,David Baldacci,4.5,12149.0,323.0,"The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget.",13 hours and 16 minutes,796.0,Private Investigator Mysteries | Police Procedural Mysteries | International Mystery & Crime,Private Investigator Mysteries,3,4.498017515409041,"Memory Man David Baldacci Private Investigator Mysteries Police Procedural Mysteries International Mystery & Crime The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget.",both datasets,memory man,david baldacci
48,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978.0,999.0,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""",9 hours and 33 minutes,573.0,Family Life Fiction for Children | Fantasy & Magic for Children | Fiction on Friendship for Children,Family Life Fiction for Children,3,4.688647121070398,"Harry Potter and the Philosopher's Stone, Book 1 J.K. Rowling Family Life Fiction for Children Fantasy & Magic for Children Fiction on Friendship for Children ""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""",both datasets,harry potter and the philosopher s stone book 1,j k rowling
49,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.5,11918.0,670.0,,,,,,0,4.497980893742467,The Power of Now: A Guide to Spiritual Enlightenment Eckhart Tolle,catalog only,the power of now a guide to spiritual enlightenment,eckhart tolle
